epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,482.296,1.4239,1.40093,1.65948,0.51239,0.47368,0.37106,0.14939,2.4686,2.12038,2.56812,0.0012575,0.0012575,0.0012575
77,488.337,1.36294,1.35399,1.58206,0.57902,0.47368,0.39144,0.14621,2.51063,2.17269,2.56815,0.0012476,0.0012476,0.0012476
78,495.763,1.35928,1.30891,1.60904,0.47638,0.42105,0.47279,0.17745,2.58056,2.14134,2.73454,0.0012377,0.0012377,0.0012377
79,500.951,1.40034,1.39874,1.6342,0.49542,0.47368,0.46474,0.167,2.35091,2.06145,2.47167,0.0012278,0.0012278,0.0012278
80,507.293,1.41475,1.33516,1.64222,0.48147,0.73684,0.55877,0.17721,2.33367,1.79219,2.40146,0.0012179,0.0012179,0.0012179
81,514.121,1.3562,1.37831,1.59638,0.70631,0.31579,0.39846,0.16868,2.28925,2.02873,2.38321,0.001208,0.001208,0.001208
82,519.39,1.3341,1.32247,1.57507,0.51746,0.36842,0.3769,0.15208,2.16266,2.37405,2.3015,0.0011981,0.0011981,0.0011981
83,525.574,1.28374,1.23181,1.53339,0.51094,0.52632,0.47491,0.20587,2.01885,2.00975,2.18119,0.0011882,0.0011882,0.0011882
84,532.806,1.35195,1.29527,1.59822,0.57666,0.50263,0.50382,0.166,2.16508,2.07668,2.4153,0.0011783,0.0011783,0.0011783
85,537.971,1.32274,1.2608,1.60685,0.40793,0.42105,0.39335,0.12365,2.34803,2.25878,2.636,0.0011684,0.0011684,0.0011684
86,544.627,1.39184,1.27901,1.62495,0.59059,0.47368,0.51939,0.18822,2.27841,1.95883,2.41816,0.0011585,0.0011585,0.0011585
87,551.447,1.40375,1.33616,1.60319,0.56082,0.47368,0.44281,0.21096,2.22145,1.83271,2.28262,0.0011486,0.0011486,0.0011486
88,556.493,1.32011,1.23096,1.55382,0.53254,0.57895,0.50749,0.18525,2.35081,1.67563,2.37382,0.0011387,0.0011387,0.0011387
89,563.191,1.26971,1.21236,1.535,0.61369,0.42105,0.46694,0.16818,2.25076,1.8801,2.53443,0.0011288,0.0011288,0.0011288
90,569.828,1.27152,1.25665,1.5318,0.31224,0.52632,0.3131,0.11609,2.61741,2.08475,2.6735,0.0011189,0.0011189,0.0011189
91,574.889,1.31885,1.28076,1.57961,0.45804,0.3565,0.34152,0.12617,2.5402,2.15297,2.78148,0.001109,0.001109,0.001109
92,581.539,1.30546,1.2697,1.55451,0.44483,0.26316,0.23983,0.08031,2.2115,2.26906,2.36117,0.0010991,0.0010991,0.0010991
93,588.265,1.27617,1.17503,1.51617,0.35484,0.47368,0.32224,0.15559,2.09739,2.03813,2.36711,0.0010892,0.0010892,0.0010892
94,593.22,1.31384,1.21537,1.55499,0.37662,0.57895,0.42524,0.19843,2.10971,1.88416,2.23898,0.0010793,0.0010793,0.0010793
95,599.695,1.27582,1.27192,1.5344,0.39368,0.36842,0.37298,0.15951,2.3257,2.0902,2.40742,0.0010694,0.0010694,0.0010694
96,606.343,1.2754,1.17461,1.51274,0.59123,0.42105,0.44039,0.23054,2.01944,1.83619,2.23904,0.0010595,0.0010595,0.0010595
97,611.047,1.2912,1.18507,1.52632,0.59584,0.46602,0.51456,0.2534,2.0193,1.86399,2.23414,0.0010496,0.0010496,0.0010496
98,617.363,1.28868,1.18525,1.52687,0.4047,0.68421,0.48672,0.20687,2.24356,1.9496,2.46329,0.0010397,0.0010397,0.0010397
99,624.687,1.25717,1.15124,1.50858,0.39234,0.52632,0.3901,0.1312,2.45451,2.15528,2.69105,0.0010298,0.0010298,0.0010298
100,629.736,1.241,1.12426,1.47861,0.4025,0.63158,0.41412,0.15233,2.44258,1.82005,2.70494,0.0010199,0.0010199,0.0010199
101,635.89,1.25778,1.22786,1.50848,0.4308,0.59797,0.44473,0.16607,2.33409,1.80875,2.51816,0.00101,0.00101,0.00101
102,642.81,1.18998,1.12737,1.44315,0.43271,0.47368,0.46737,0.15325,2.26854,2.23528,2.40353,0.0010001,0.0010001,0.0010001
103,648.017,1.2123,1.16196,1.46506,0.46459,0.47368,0.41917,0.17305,2.15501,2.09984,2.19307,0.0009902,0.0009902,0.0009902
104,653.932,1.22238,1.14154,1.46855,0.52682,0.47368,0.47382,0.20477,2.04701,1.9562,2.09423,0.0009803,0.0009803,0.0009803
105,661.008,1.2132,1.06554,1.45681,0.455,0.44006,0.42963,0.21869,2.09976,1.91801,2.15292,0.0009704,0.0009704,0.0009704
106,665.88,1.23608,1.12947,1.47897,0.72365,0.47368,0.55833,0.24115,2.18185,1.80569,2.28887,0.0009605,0.0009605,0.0009605
107,671.989,1.15143,1.08241,1.43306,0.57701,0.52632,0.51931,0.20782,2.25903,1.78422,2.54816,0.0009506,0.0009506,0.0009506
108,678.725,1.19899,1.08605,1.45661,0.43259,0.52632,0.42591,0.13003,2.61797,2.11413,2.94743,0.0009407,0.0009407,0.0009407
109,683.377,1.22511,1.11326,1.46092,0.54264,0.52632,0.42035,0.15216,2.49788,2.14396,2.75509,0.0009308,0.0009308,0.0009308
110,689.245,1.18457,1.0687,1.45706,0.59241,0.42105,0.45689,0.1667,2.33516,2.12509,2.493,0.0009209,0.0009209,0.0009209
111,696.552,1.15323,1.03117,1.43911,0.36595,0.52632,0.36588,0.16503,2.29797,2.02638,2.53016,0.000911,0.000911,0.000911
112,701.571,1.15991,1.08162,1.43399,0.41394,0.63158,0.4007,0.14906,2.41216,2.04173,2.64448,0.0009011,0.0009011,0.0009011
113,707.335,1.16316,1.02181,1.44635,0.60096,0.52632,0.45408,0.14619,2.44172,2.18174,2.55909,0.0008912,0.0008912,0.0008912
114,714.336,1.15113,1.01714,1.4469,0.58761,0.42105,0.41248,0.15093,2.38061,2.21758,2.43079,0.0008813,0.0008813,0.0008813
115,719.479,1.15711,1.06291,1.43921,0.61523,0.42105,0.41189,0.18109,2.18541,2.03211,2.39957,0.0008714,0.0008714,0.0008714
116,725.477,1.11786,0.9819,1.38797,0.64319,0.57895,0.5447,0.21033,2.31142,1.67446,2.68604,0.0008615,0.0008615,0.0008615
117,732.21,1.0967,0.99251,1.40955,0.50515,0.52632,0.45225,0.16677,2.52018,1.95706,2.6892,0.0008516,0.0008516,0.0008516
118,737.301,1.12969,1.00715,1.40183,0.61911,0.51391,0.46801,0.17141,2.42436,2.07344,2.49224,0.0008417,0.0008417,0.0008417
119,743.553,1.1063,0.97848,1.37919,0.35826,0.49999,0.38032,0.14807,2.39265,2.09111,2.45305,0.0008318,0.0008318,0.0008318
120,750.771,1.1249,0.97589,1.38273,0.54436,0.37784,0.39989,0.15471,2.34245,2.0296,2.46639,0.0008219,0.0008219,0.0008219
121,755.472,1.08443,0.94401,1.35543,0.47972,0.53412,0.43458,0.17096,2.24431,1.90447,2.36451,0.000812,0.000812,0.000812
122,762.5,1.07864,0.97596,1.38012,0.59921,0.42105,0.37221,0.15174,2.29144,2.07619,2.55062,0.0008021,0.0008021,0.0008021
123,768.528,1.05525,0.97895,1.34616,0.37511,0.57895,0.39403,0.17306,2.35535,1.80697,2.643,0.0007922,0.0007922,0.0007922
124,773.289,1.11811,1.01448,1.37911,0.42788,0.57895,0.45055,0.22499,2.27261,1.71749,2.45489,0.0007823,0.0007823,0.0007823
125,780.103,1.08397,0.94901,1.34761,0.47468,0.52328,0.44372,0.17293,2.61196,1.77863,2.81104,0.0007724,0.0007724,0.0007724
126,786.328,1.07165,0.98214,1.36033,0.38821,0.46779,0.31998,0.12771,2.52225,2.12817,2.56094,0.0007625,0.0007625,0.0007625
127,791.204,1.06546,0.98546,1.36581,0.55628,0.42105,0.44986,0.17741,2.44229,1.9884,2.57709,0.0007526,0.0007526,0.0007526
128,798.161,1.08349,0.97604,1.37148,0.4683,0.42105,0.39236,0.13214,2.57309,1.99028,2.67205,0.0007427,0.0007427,0.0007427
129,804.296,1.07006,0.9091,1.37056,0.66274,0.52632,0.52943,0.16995,2.61147,1.89483,2.72902,0.0007328,0.0007328,0.0007328
130,809.214,1.0843,0.91381,1.38362,0.76557,0.42105,0.46082,0.17828,2.51356,1.97473,2.72728,0.0007229,0.0007229,0.0007229
131,815.878,1.04556,0.95483,1.343,0.56692,0.42105,0.43932,0.16599,2.45054,2.19944,2.57639,0.000713,0.000713,0.000713
132,822.201,1.01637,0.88496,1.31145,0.6699,0.47368,0.49635,0.20824,2.41159,2.05828,2.5674,0.0007031,0.0007031,0.0007031
133,827.359,1.00899,0.8735,1.34367,0.62017,0.43022,0.52476,0.2357,2.22417,2.15307,2.36834,0.0006932,0.0006932,0.0006932
134,834.198,1.07422,0.93031,1.36322,0.5734,0.57895,0.46337,0.17596,2.3585,2.32835,2.51316,0.0006833,0.0006833,0.0006833
135,840.637,1.0627,0.89085,1.34056,0.58936,0.47368,0.45536,0.21718,2.39439,2.30241,2.54758,0.0006734,0.0006734,0.0006734
136,845.471,1.0014,0.88507,1.32218,0.48158,0.42105,0.43684,0.18737,2.42668,2.12163,2.46791,0.0006635,0.0006635,0.0006635
137,852.444,1.04121,0.87781,1.34021,0.56794,0.36842,0.43706,0.19757,2.22488,1.99017,2.30263,0.0006536,0.0006536,0.0006536
138,858.695,1.01158,0.86003,1.33374,0.73546,0.47368,0.53282,0.22762,2.28102,1.94554,2.31102,0.0006437,0.0006437,0.0006437
139,863.429,0.98393,0.84269,1.27404,0.81729,0.47112,0.52932,0.21564,2.32665,1.92127,2.31491,0.0006338,0.0006338,0.0006338
